country,wineProduction,wineProductionGallons,pop2020
Italy,4250000,1122731,60461.826
France,3641900,962088,65273.511
Spain,3248000,858030,46754.778
United States,2333900,616551,331002.651
Australia,1369000,361651,25499.884
Argentina,1182100,312277,45195.774
China,1163600,307390,1439323.776
South Africa,1080100,285332,59308.69
Chile,949200,250752,19116.201
Germany,746200,197125,83783.942
Portugal,673700,177972,10196.709
Russia,631200,166745,145934.462
Romania,431700,114043,19237.691
Brazil,355300,93860,212559.417
Hungary,318000,84006,9660.351
New Zealand,285100,75315,4822.233
Greece,255000,67363,10423.054
Austria,248600,65673,9006.398
Ukraine,187200,49453,43733.762
Moldova,180100,47577,4033.963
Bulgaria,108000,28530,6948.445
Serbia,99300,26232,8737.371
Georgia,85600,22613,3989.167
Japan,79600,21028,126476.461
Switzerland,79200,20922,8654.622
Peru,76500,20209,32971.854
Croatia,72600,19178,4105.267
Uruguay,67300,17778,3473.73
Czech Republic,64500,17039,10708.981
Turkey,64400,17012,84339.067
Canada,59100,15612,37742.154
Algeria,52000,13736,43851.044
Slovenia,47300,12495,2078.938
Turkmenistan,42600,11253,6031.2
Mexico,38700,10223,128932.753
Uzbekistan,38000,10038,33469.203
Macedonia,36900,9747,2083.374
Morocco,35900,9483,36910.56
Belarus,31000,8189,9449.323
Slovakia,29800,7872,5459.642
Tunisia,27300,7211,11818.619
Kazakhstan,22000,5811,18776.707
India,20400,5389,1380004.385
Israel,20000,5283,8655.535
Albania,17800,4702,2877.797
Montenegro,14800,3909,628.066
Estonia,12000,3170,1326.535
Cuba,11900,3143,11326.616
Cyprus,11000,2905,1207.359
Azerbaijan,10200,2694,10139.177
Lebanon,9700,2562,6825.445
Armenia,9400,2483,2963.243
Luxembourg,9000,2377,625.978
Bolivia,8400,2219,11673.021
Madagascar,8400,2219,27691.018
Bosnia And Herzegovina,6000,1585,3280.819
Egypt,5200,1373,102334.404
Lithuania,4100,1083,2722.289
United Kingdom,3000,792,67886.011
Latvia,2300,607,1886.198
Zimbabwe,2200,581,14862.924
Malta,1500,396,441.543
Kyrgyzstan,1500,396,6524.195
Paraguay,1500,396,7132.538
Ethiopia,1500,396,114963.588
Belgium,700,184,11589.623
Panama,100,26,4314.767
Tajikistan,100,26,9537.645
Syria,100,26,17500.658
