country,volume,population
Italy,4250000,60461.826
France,3641900,65273.511
Spain,3248000,46754.778
United States,2333900,331002.651
Australia,1369000,25499.884
Argentina,1182100,45195.774
China,1163600,1439323.776
South Africa,1080100,59308.69
Chile,949200,19116.201
Germany,746200,83783.942
Portugal,673700,10196.709
Russia,631200,145934.462
Romania,431700,19237.691
Brazil,355300,212559.417
Hungary,318000,9660.351
New Zealand,285100,4822.233
Greece,255000,10423.054
Austria,248600,9006.398
Ukraine,187200,43733.762
Moldova,180100,4033.963
Bulgaria,108000,6948.445
Serbia,99300,8737.371
Georgia,85600,3989.167
Japan,79600,126476.461
Switzerland,79200,8654.622
Peru,76500,32971.854
Croatia,72600,4105.267
Uruguay,67300,3473.73
Czech Republic,64500,10708.981
Turkey,64400,84339.067
Canada,59100,37742.154
Algeria,52000,43851.044
Slovenia,47300,2078.938
Turkmenistan,42600,6031.2
Mexico,38700,128932.753
Uzbekistan,38000,33469.203
Macedonia,36900,2083.374
Morocco,35900,36910.56
Belarus,31000,9449.323
Slovakia,29800,5459.642
Tunisia,27300,11818.619
Kazakhstan,22000,18776.707
India,20400,1380004.385
Israel,20000,8655.535
Albania,17800,2877.797
Montenegro,14800,628.066
Estonia,12000,1326.535
Cuba,11900,11326.616
Cyprus,11000,1207.359
Azerbaijan,10200,10139.177
Lebanon,9700,6825.445
Armenia,9400,2963.243
Luxembourg,9000,625.978
Bolivia,8400,11673.021
Madagascar,8400,27691.018
Bosnia and Herzegovina,6000,3280.819
Egypt,5200,102334.404
Lithuania,4100,2722.289
United Kingdom,3000,67886.011
Latvia,2300,1886.198
Zimbabwe,2200,14862.924
Malta,1500,441.543
Kyrgyzstan,1500,6524.195
Paraguay,1500,7132.538
Ethiopia,1500,114963.588
Belgium,700,11589.623
Panama,100,4314.767
Tajikistan,100,9537.645
Syria,100,17500.658
